Date,Open,High,Low,Close,Adj Close,Volume
2018-09-24,5.770000,5.990000,5.630000,5.720000,5.518498,184500
2018-09-25,5.740000,5.780000,5.580000,5.700000,5.499203,165900
2018-09-26,5.670000,5.720000,5.600000,5.600000,5.402726,65300
2018-09-27,5.600000,5.740000,5.600000,5.690000,5.489556,34800
2018-09-28,5.700000,5.740000,5.620000,5.620000,5.422021,59900
2018-10-01,5.630000,5.640000,5.580000,5.610000,5.412374,68600
2018-10-02,5.600000,5.660000,5.470000,5.480000,5.286953,124400
2018-10-03,5.480000,5.770000,5.480000,5.660000,5.460612,53500
2018-10-04,5.620000,5.790000,5.620000,5.690000,5.489556,23900
2018-10-05,5.670000,5.680000,5.560000,5.610000,5.412374,62700
2018-10-08,5.610000,5.770000,5.550000,5.710000,5.508851,45000
2018-10-09,5.730000,5.790000,5.670000,5.730000,5.528146,18200
2018-10-10,5.750000,5.750000,5.500000,5.500000,5.306249,67300
2018-10-11,5.420000,5.490000,5.310000,5.320000,5.132590,56200
2018-10-12,5.360000,5.390000,5.290000,5.360000,5.171180,96400
2018-10-15,5.340000,5.460000,5.340000,5.400000,5.209771,9600
2018-10-16,5.460000,5.690000,5.410000,5.640000,5.441317,14800
2018-10-17,5.690000,5.690000,5.540000,5.550000,5.354487,81600
2018-10-18,5.500000,5.530000,5.400000,5.440000,5.248362,30000
2018-10-19,5.420000,5.530000,5.420000,5.450000,5.258009,11300
2018-10-22,5.500000,5.500000,5.390000,5.430000,5.238714,26500
2018-10-23,5.350000,5.410000,5.220000,5.400000,5.209771,46200
2018-10-24,5.410000,5.510000,5.280000,5.280000,5.093998,31300
2018-10-25,5.260000,5.480000,5.260000,5.320000,5.132590,54600
2018-10-26,5.250000,5.320000,5.220000,5.260000,5.074704,54800
2018-10-29,5.260000,5.330000,5.040000,5.150000,4.968578,62600
2018-10-30,5.130000,5.190000,4.960000,5.140000,4.958930,69400
2018-10-31,5.170000,5.170000,5.010000,5.010000,4.833510,31300
2018-11-01,5.000000,5.140000,4.990000,5.140000,4.958930,75700
2018-11-02,5.120000,5.280000,5.120000,5.280000,5.093998,29000
2018-11-05,5.470000,5.470000,5.220000,5.400000,5.209771,25800
2018-11-06,5.380000,5.610000,5.310000,5.510000,5.315897,44700
2018-11-07,5.510000,5.510000,5.360000,5.420000,5.229067,80100
2018-11-08,5.390000,5.430000,5.300000,5.340000,5.151885,47000
2018-11-09,5.350000,5.370000,5.260000,5.310000,5.122941,54400
2018-11-12,5.300000,5.330000,5.200000,5.200000,5.016816,4900
2018-11-13,5.190000,5.290000,5.150000,5.200000,5.016816,26600
2018-11-14,5.320000,5.320000,5.230000,5.230000,5.045760,17600
2018-11-15,5.190000,5.310000,5.150000,5.250000,5.065055,27900
2018-11-16,5.280000,5.350000,5.220000,5.310000,5.122941,46500
2018-11-19,5.300000,5.360000,5.200000,5.280000,5.093998,69200
2018-11-20,5.260000,5.260000,5.050000,5.140000,4.958930,53800
2018-11-21,5.170000,5.220000,5.050000,5.100000,4.920340,20200
2018-11-23,5.020000,5.020000,4.820000,5.000000,4.823862,68000
2018-11-26,5.000000,5.050000,4.830000,4.830000,4.659851,90900
2018-11-27,4.850000,4.900000,4.690000,4.730000,4.563374,102100
2018-11-28,4.720000,4.780000,4.710000,4.710000,4.544078,109400
2018-11-29,4.800000,4.850000,4.690000,4.750000,4.582669,86500
2018-11-30,4.750000,5.450000,4.750000,5.050000,4.872101,352900
2018-12-03,5.300000,5.450000,5.200000,5.440000,5.248362,89200
2018-12-04,5.350000,5.440000,5.200000,5.410000,5.219419,88700
2018-12-06,5.410000,5.410000,5.130000,5.410000,5.219419,82100
2018-12-07,5.440000,5.510000,5.260000,5.340000,5.151885,48800
2018-12-10,5.300000,5.300000,4.700000,4.900000,4.727385,116300
2018-12-11,4.950000,4.960000,3.610000,4.900000,4.727385,759100
2018-12-12,4.880000,4.990000,4.760000,4.820000,4.650203,89600
2018-12-13,4.820000,4.880000,4.460000,4.470000,4.312532,198100
2018-12-14,4.420000,4.730000,4.420000,4.500000,4.341476,105600
2018-12-17,4.500000,4.540000,4.260000,4.260000,4.109931,122500
2018-12-18,4.310000,4.390000,4.180000,4.180000,4.032749,64700
2018-12-19,4.180000,4.220000,4.020000,4.100000,3.955567,88000
2018-12-20,4.140000,4.170000,3.910000,3.950000,3.810851,57100
2018-12-21,3.950000,4.060000,3.850000,3.870000,3.733669,154100
2018-12-24,3.870000,3.920000,3.820000,3.850000,3.714374,25200
2018-12-26,3.870000,4.100000,3.800000,4.100000,3.955567,84700
2018-12-27,4.040000,4.120000,3.800000,4.090000,3.945919,63900
2018-12-28,4.110000,4.200000,4.010000,4.020000,3.878385,11800
2018-12-31,4.020000,4.170000,3.950000,4.060000,3.916976,23900
2019-01-02,4.070000,4.470000,4.070000,4.290000,4.138874,61400
2019-01-03,4.150000,4.330000,4.100000,4.130000,3.984510,32400
2019-01-04,4.130000,4.450000,4.130000,4.400000,4.244999,30400
2019-01-07,4.400000,4.620000,4.280000,4.610000,4.447601,14800
2019-01-08,4.620000,4.620000,4.470000,4.480000,4.322180,36400
2019-01-09,4.580000,4.650000,4.520000,4.650000,4.486192,21100
2019-01-10,4.650000,4.650000,4.520000,4.570000,4.409010,37100
2019-01-11,4.520000,4.620000,4.510000,4.510000,4.351124,50000
2019-01-14,4.570000,4.570000,4.510000,4.560000,4.399362,14700
2019-01-15,4.540000,4.650000,4.520000,4.650000,4.486192,8300
2019-01-16,4.640000,4.810000,4.630000,4.810000,4.640555,41000
2019-01-17,4.780000,4.840000,4.660000,4.740000,4.573021,27100
2019-01-18,4.790000,4.830000,4.580000,4.640000,4.476544,71300
2019-01-22,4.620000,4.660000,4.460000,4.660000,4.495840,36000
2019-01-23,4.670000,4.670000,4.460000,4.560000,4.399362,42400
2019-01-24,4.560000,4.570000,4.440000,4.450000,4.293237,45300
2019-01-25,4.500000,4.630000,4.410000,4.630000,4.466897,49900
2019-01-28,4.620000,4.700000,4.440000,4.700000,4.534431,15100
2019-01-29,4.720000,4.720000,4.410000,4.580000,4.418658,28800
2019-01-30,4.590000,4.670000,4.460000,4.530000,4.370420,19600
2019-01-31,4.600000,4.640000,4.540000,4.640000,4.476544,32000
2019-02-01,4.580000,4.670000,4.460000,4.670000,4.505487,21300
2019-02-04,4.640000,4.650000,4.500000,4.650000,4.486192,12000
2019-02-05,4.660000,4.750000,4.570000,4.750000,4.582669,88000
2019-02-06,4.850000,5.000000,4.850000,4.920000,4.746681,120400
2019-02-07,4.940000,4.950000,4.770000,4.900000,4.727385,36900
2019-02-08,4.910000,4.940000,4.760000,4.840000,4.669499,86900
2019-02-11,4.910000,4.950000,4.770000,4.870000,4.698442,34500
2019-02-12,4.900000,4.900000,4.690000,4.760000,4.592317,61100
2019-02-13,4.770000,4.870000,4.600000,4.600000,4.437953,113000
2019-02-14,4.590000,4.710000,4.590000,4.650000,4.486192,25300
2019-02-15,4.640000,4.730000,4.560000,4.630000,4.466897,71500
2019-02-19,4.640000,4.730000,4.590000,4.670000,4.505487,120200
2019-02-20,4.680000,4.710000,4.590000,4.610000,4.447601,66400
2019-02-21,4.620000,4.630000,4.570000,4.580000,4.418658,26700
2019-02-22,4.580000,4.740000,4.500000,4.660000,4.495840,66800
2019-02-25,4.760000,4.930000,4.760000,4.850000,4.679146,262100
2019-02-26,5.070000,5.100000,4.940000,4.980000,4.804567,407500
2019-02-27,5.030000,5.060000,4.850000,4.900000,4.727385,109000
2019-02-28,4.900000,4.900000,4.800000,4.830000,4.659851,59300
2019-03-01,4.830000,4.900000,4.820000,4.890000,4.717737,30600
2019-03-04,4.900000,4.900000,4.800000,4.850000,4.679146,71600
2019-03-05,4.890000,4.890000,4.600000,4.690000,4.524783,84500
2019-03-06,4.730000,4.730000,4.460000,4.550000,4.389715,86100
2019-03-07,4.550000,4.610000,4.360000,4.480000,4.322180,80100
2019-03-08,4.440000,4.530000,4.400000,4.480000,4.322180,120700
2019-03-11,4.530000,4.650000,4.520000,4.590000,4.428306,194100
2019-03-12,4.600000,4.830000,4.550000,4.740000,4.573021,181000
2019-03-13,4.740000,4.830000,4.620000,4.640000,4.476544,61900
2019-03-14,4.670000,4.700000,4.440000,4.470000,4.312532,129500
2019-03-15,4.460000,4.530000,4.320000,4.380000,4.225704,129200
2019-03-18,4.380000,4.460000,4.340000,4.390000,4.235351,122400
2019-03-19,4.390000,4.440000,4.370000,4.400000,4.244999,35900
2019-03-20,4.440000,4.440000,4.340000,4.350000,4.196760,99300
2019-03-21,4.330000,4.380000,4.200000,4.250000,4.100283,113600
2019-03-22,4.210000,4.230000,4.100000,4.130000,3.984510,59300
2019-03-25,4.110000,4.150000,3.950000,3.990000,3.849442,74000
2019-03-26,4.000000,4.120000,3.950000,4.060000,3.916976,101300
2019-03-27,4.100000,4.200000,3.980000,4.180000,4.032749,150100
2019-03-28,4.150000,4.270000,4.030000,4.060000,3.916976,40800
2019-03-29,4.070000,4.130000,4.060000,4.100000,3.955567,29600
2019-04-01,4.070000,4.220000,4.070000,4.180000,4.032749,51000
2019-04-02,4.240000,4.340000,4.180000,4.250000,4.100283,135800
2019-04-03,4.280000,4.320000,4.200000,4.230000,4.080987,272400
2019-04-04,4.270000,4.300000,4.250000,4.260000,4.109931,140300
2019-04-05,4.370000,4.370000,4.250000,4.310000,4.158169,103100
2019-04-08,4.360000,4.370000,4.250000,4.300000,4.148521,117300
2019-04-09,4.300000,4.320000,4.210000,4.290000,4.138874,68400
2019-04-10,4.270000,4.270000,4.150000,4.220000,4.071339,68000
